PM2.5,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
5,4,12,200,85,-0.5,1024.5,-21.4,0,NNW,5.7
8,6,14,200,84,-0.7,1025.1,-22.1,0,NW,3.9
3,5,14,200,83,-1.2,1025.3,-24.6,0,NNW,5.3
5,5,14,200,84,-1.4,1026.2,-25.5,0,N,4.9
5,6,21,200,77,-1.9,1027.1,-24.5,0,NNW,3.2
3,13,21,300,77,-2.4,1027.5,-21.3,0,NW,2.4
4,15,32,300,62,-2.5,1028.2,-20.4,0,NW,2.2
3,14,45,400,48,-1.4,1029.5,-20.4,0,NNW,3
3,13,49,400,46,-0.3,1030.4,-21.2,0,NW,4.6
11,9,28,400,68,0.4,1030.5,-23.3,0,N,5.5
3,6,20,300,77,1.4,1030.2,-22.5,0,N,5.2
3,6,19,300,81,2.9,1029.8,-22.9,0,NNW,5.3
3,4,17,300,86,4,1028.6,-21.2,0,W,4.6
3,4,17,300,87,5,1027.8,-21.2,0,NW,4.5
6,4,19,300,86,6.2,1027.6,-22.2,0,NW,4
5,4,18,300,89,6,1027.7,-21.3,0,NNW,2.1
5,4,21,300,85,5.6,1027.7,-20.7,0,N,1.8
10,8,25,400,80,4.4,1028.2,-20.9,0,N,3.5
11,7,27,400,77,3.2,1029.4,-20.3,0,NNW,0.5
11,12,39,400,64,3,1030.1,-19.7,0,N,1.1
10,18,46,500,55,1.6,1031.3,-19,0,ENE,1.2
12,18,50,500,49,0.8,1032.4,-19.7,0,NE,1
17,20,56,600,43,0.1,1032.9,-19.2,0,ENE,1.8
6,17,41,500,57,-0.5,1032.8,-19.7,0,NE,2.1
13,12,40,500,57,-0.7,1033,-18.3,0,E,0.6
3,13,39,500,56,-1.6,1033.2,-17.4,0,ENE,0
3,NA,38,400,52,-2.2,1032.9,-16.7,0,N,0
3,8,30,NA,89,-3.1,1032.6,-15.8,0,N,0
3,7,NA,400,59,-3.1,1032.7,-16.1,0,N,0
3,9,42,400,50,-2.4,1032.1,-18.1,0,NNE,0.8
3,16,57,500,35,-2.3,1031.3,-18.4,0,N,1.5
3,33,61,500,32,-1.9,1031.9,-18.5,0,N,1.4
3,28,50,500,43,-0.9,1031.7,-18,0,NNE,1.6
3,26,39,500,54,0.1,1031.7,-18.1,0,NE,0.5
3,25,43,500,52,1.5,1031.2,-18,0,ENE,0.6
14,25,52,700,46,2.6,1030.2,-18.2,0,SW,3.1
18,24,75,1000,30,3.8,1029,-17.8,0,SSW,1.1
26,29,72,1000,35,3.8,1027.6,-17.8,0,S,1
33,24,59,800,48,3.9,1026.8,-18.3,0,SSW,0.4
24,27,58,1000,50,4.3,1026.2,-18,0,SSW,1.5
42,50,67,1300,44,4.1,1025.4,-16.9,0,SSW,1.9
54,51,72,1200,38,3.2,1025.3,-16,0,WSW,1.3
63,50,75,1100,34,2.2,1025.4,-15.8,0,NE,0.4
64,51,80,1200,28,1.6,1025,-15.4,0,N,0.1
65,54,98,1399,13,0.7,1025,-15.3,0,N,1
69,68,116,2200,6,0.5,1024.8,-15.1,0,N,0.2
83,73,118,2200,6,-1,1024.2,-14.6,0,ENE,0
92,78,108,2899,7,-1.3,1023.2,-14.5,0,N,0
122,86,106,3100,8,-2.2,1022.3,-12.8,0,N,0
134,72,108,3299,7,-1.8,1021.4,-13.3,0,W,0.7
145,76,109,2899,7,-2.4,1020.4,-13.3,0,E,1.3
139,88,111,2200,5,-3.3,1019.4,-12.5,0,ESE,1.2
87,84,107,2500,5,-4.2,1019,-12.6,0,E,0.1
90,77,102,3100,5,-5.2,1018.5,-11.6,0,NE,0.9
118,83,106,3399,6,-5.4,1018.3,-11.3,0,ENE,0
